frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.32193556,0.19095929,0.19578633,0.27830032,0.86346215,1.0,0.7021191,0.78352237,1.0,0.8684057,0.8316445,0.44722566,0.27090305,1.0,0.15384346,0.032468963,0.9997687,0.70387316,0.04340453,0.9045201
1,0.4041803,0.18368009,0.4501038,0.27614942,0.8639758,1.0,0.80195767,0.8753807,1.0,0.89967304,0.8503913,0.31813926,0.30505115,1.0,0.14747663,0.05583059,0.9984341,0.43627778,0.022224216,0.8984846
2,0.33165133,0.19867742,0.5567729,0.28610578,0.84498996,0.0,0.79219145,0.92683905,1.0,0.91825116,0.7838642,0.3918544,0.3260109,1.0,0.197974,0.049448125,0.9994099,0.49105626,0.10948125,0.900968
3,0.3163061,0.18082643,0.32323605,0.28013852,0.83986664,0.0,0.81110924,0.84688085,1.0,0.91770685,0.74186504,0.27171966,0.3451303,1.0,0.16429466,0.04844665,0.9985274,0.35226506,0.0782188,0.9029257
4,0.32074955,0.14809373,0.76564616,0.27831206,0.74896675,1.0,0.8295645,0.9362941,1.0,0.854477,0.6539463,0.35882333,0.30380133,1.0,0.1779747,0.046434715,0.99951375,0.4831479,0.13616042,0.9132701
5,0.2973214,0.24774611,0.5863246,0.25714114,0.7956662,0.0,0.82358557,0.97295177,1.0,0.86881196,0.65660155,0.34535682,0.32757226,1.0,0.18950847,0.049190033,0.99982446,0.39830706,0.08087946,0.9062535
6,0.328291,0.18352202,0.3394468,0.23919885,0.7559321,0.0,0.7807275,0.87392914,1.0,0.8369818,0.63096,0.50029445,0.32911134,1.0,0.26524797,0.092166774,0.9986992,0.3946414,0.09647636,0.7741325
7,0.315586,0.27905384,0.2188615,0.2542428,0.8633825,0.0,0.69749767,0.051973965,1.0,0.9016951,0.784558,0.41977513,0.3104533,1.0,0.17102918,0.035362113,0.996999,0.33609945,0.02962056,0.88947296
8,0.33481422,0.26613075,0.16019309,0.24690078,0.84891003,0.0,0.62500495,0.68861926,1.0,0.9023684,0.8180854,0.60881317,0.34685248,1.0,0.18573307,0.036018644,0.9990006,0.3550036,0.06162665,0.87547904
9,0.3585797,0.1537406,0.21534017,0.27025652,0.8369841,1.0,0.54779154,0.9004345,1.0,0.91944206,0.79846996,0.43517083,0.29542512,1.0,0.26013008,0.02930416,0.99924636,0.31107357,0.08436529,0.67310077
10,0.32863298,0.2056369,0.3014713,0.26803568,0.8425135,1.0,0.7533735,0.930278,1.0,0.8925652,0.72491884,0.30680832,0.32357147,1.0,0.15298077,0.056928415,0.99568367,0.3286215,0.042066894,0.61999124
11,0.38570708,0.37154198,0.24576822,0.31846273,0.74209344,1.0,0.64453125,0.4453675,1.0,0.866431,0.5237367,0.32009912,0.2761874,1.0,0.23156846,0.11434141,0.99797314,0.291992,0.046839356,0.646562
12,0.36329037,0.15613125,0.6103317,0.30772868,0.8278233,1.0,0.7233459,0.369764,1.0,0.82036763,0.6376862,0.5513286,0.3127435,1.0,0.20994568,0.115529954,0.9948361,0.21988058,0.0771531,0.7366062
13,0.3116,0.21302298,0.5534261,0.28950274,0.7810977,0.0,0.64568526,0.69838834,1.0,0.8276864,0.6294206,0.55131507,0.2812325,1.0,0.16674466,0.10463168,0.99898225,0.28623882,0.08079878,0.75617474
14,0.35649207,0.17197402,0.41414204,0.2966821,0.72253627,1.0,0.6929195,0.5991044,1.0,0.7494307,0.71743214,0.4624822,0.302465,1.0,0.2384243,0.11031098,0.9969963,0.38124263,0.12961586,0.9039618
15,0.4052504,0.2143341,0.41094384,0.2383812,0.4349437,1.0,0.75800973,0.97686315,1.0,0.6223111,0.5728127,0.49870092,0.4093309,1.0,0.32032776,0.06465258,0.9964127,0.46924508,0.12877697,0.88270074
16,0.39593685,0.18666312,0.34900543,0.23737633,0.43012974,1.0,0.75519496,0.97493297,1.0,0.5998801,0.60393906,0.530932,0.39945248,1.0,0.30136067,0.06867985,0.9977718,0.52045435,0.19955172,0.8786631
17,0.4224756,0.1522161,0.23522995,0.23017459,0.6028349,0.0,0.5890027,0.8951239,1.0,0.64699125,0.5910074,0.66166204,0.3627131,1.0,0.5799687,0.041358612,0.99968314,0.5381288,0.03841314,0.923896
18,0.29715893,0.13599248,0.13875829,0.2823088,0.6885958,0.0,0.5563727,0.043457136,0.0,0.5835015,0.42621762,0.4756112,0.33801293,1.0,0.44857743,0.037363186,0.9996848,0.4122807,0.034914564,0.7675557
19,0.30956545,0.18005355,0.25378278,0.30846176,0.45837995,0.0,0.56525713,0.9334694,0.0,0.5748763,0.5010455,0.43543395,0.36934146,1.0,0.38519382,0.059988093,0.997459,0.3742021,0.13465294,0.8210289
20,0.3180898,0.2888233,0.39075625,0.23548165,0.57571524,1.0,0.43735752,0.85871744,1.0,0.532394,0.42173642,0.46375313,0.30560434,1.0,0.4835328,0.03774934,0.9965693,0.7631073,0.044919387,0.8815774
21,0.3743488,0.1894715,0.58846587,0.30463102,0.55099237,1.0,0.4373859,0.92918545,1.0,0.46257076,0.3117905,0.3576935,0.35982984,1.0,0.45296407,0.05625875,0.9985996,0.5398613,0.12878233,0.7717366
22,0.22727235,0.15853505,0.34988812,0.31153303,0.47854683,1.0,0.4539913,0.94960064,0.0,0.4275962,0.6027382,0.565287,0.40593693,1.0,0.30875686,0.0706403,0.9801082,0.5306172,0.079999596,0.83648854
23,0.40431398,0.24020621,0.6063448,0.27692032,0.31157055,1.0,0.5053482,0.6001251,1.0,0.32449752,0.44121978,0.5398718,0.40256578,0.0,0.5883823,0.05298602,0.9910286,0.65264773,0.1538571,0.823094
24,0.32577035,0.327857,0.4990023,0.31824332,0.27375758,0.0,0.3442454,0.10239151,1.0,0.30150285,0.5189172,0.3568996,0.32472038,1.0,0.40811262,0.17265046,0.9983474,0.38580182,0.054799605,0.73737687
25,0.30213723,0.16316867,0.67117864,0.28492367,0.2921107,0.0,0.5494202,0.8655667,0.0,0.20374127,0.63068885,0.7941882,0.36769307,1.0,0.52030414,0.13477731,0.9997049,0.7648004,0.057978414,0.88567716
26,0.3494516,0.37115672,0.41781262,0.31444716,0.30825233,1.0,0.4241178,0.08982188,0.0,0.32302806,0.61678284,0.64793587,0.30753997,1.0,0.5117295,0.122465335,0.99963987,0.43242833,0.09506339,0.87792057
27,0.31644925,0.3247088,0.3798217,0.32323295,0.31807905,0.0,0.3222207,0.8421523,1.0,0.35718584,0.70203036,0.6979886,0.34303492,1.0,0.6269987,0.16474754,0.9960169,0.42352256,0.27161413,0.6789641
28,0.47949243,0.47836038,0.39165646,0.32440788,0.30165783,1.0,0.29114696,0.847836,0.0,0.3082472,0.57557213,0.4732436,0.4780409,1.0,0.6409708,0.08734754,0.99026793,0.28496423,0.1014319,0.79533106
29,0.38831028,0.4655461,0.32570282,0.369356,0.43181548,1.0,0.25389963,0.7344099,1.0,0.24005176,0.4943329,0.30931,0.32363918,1.0,0.2881547,0.25241384,0.9240279,0.34275863,0.23537609,0.8550714
30,0.3610687,0.29221383,0.3453819,0.3079445,0.3515661,0.0,0.2820546,0.8533,0.0,0.26965,0.49888235,0.33341882,0.32958087,1.0,0.5784175,0.13235095,0.9988159,0.44486782,0.08649213,0.8744068
31,0.326027,0.3098918,0.5022811,0.30404958,0.39845237,1.0,0.3000773,0.8553981,0.0,0.25341636,0.44315234,0.24737136,0.39040074,1.0,0.50055957,0.2717196,0.9883929,0.45509925,0.021293815,0.8381015
32,0.34565496,0.40823328,0.4211628,0.3450303,0.47279635,1.0,0.38200748,0.7017724,0.0,0.36276448,0.4120084,0.28474247,0.3497866,0.0,0.42382762,0.34615466,0.9498312,0.2525475,0.10488741,0.7585766
33,0.24593751,0.2765947,0.5424145,0.3638825,0.4429208,1.0,0.3785887,0.93232816,1.0,0.28063723,0.33631402,0.18719488,0.37648553,0.0,0.2913045,0.33666918,0.958969,0.2188228,0.15814877,0.48440596
34,0.3226884,0.32915074,0.5930389,0.3581996,0.461602,1.0,0.39403346,0.7700636,1.0,0.2559905,0.613943,0.6883623,0.40298885,0.0,0.4305002,0.26814777,0.8867601,0.25493762,0.42218485,0.844124
35,0.30482173,0.30176497,0.3083948,0.42706025,0.3810115,0.0,0.3369654,0.111803554,0.0,0.29234654,0.45803857,0.15971436,0.38685676,0.0,0.39262068,0.43176764,0.8515271,0.33859622,0.41382676,0.88493747
36,0.36328787,0.38181692,0.4591493,0.3607674,0.40009665,1.0,0.33276275,0.60953695,0.0,0.31324717,0.3573669,0.32085934,0.4203984,0.0,0.30231,0.45556638,0.9603026,0.34847468,0.31925675,0.81829894
37,0.32171842,0.32984844,0.27313733,0.35464635,0.4479547,1.0,0.30889428,0.923053,0.0,0.2984665,0.24892399,0.22967675,0.36866054,0.0,0.21928138,0.4372861,0.9006714,0.26644987,0.6105893,0.8366673
38,0.30846772,0.30186903,0.24166702,0.36552852,0.39644608,1.0,0.26568446,0.0002245705,0.0,0.42315343,0.24921627,0.46948868,0.5047442,0.0,0.19352764,0.44758478,0.7654462,0.34228063,0.277773,0.8795779
39,0.4412649,0.318853,0.2422114,0.26483494,0.4680938,0.0,0.330975,0.039772846,0.0,0.44212866,0.48628145,0.3915803,0.49387273,0.0,0.4370662,0.6203814,0.8232446,0.399949,0.24327013,0.88082385
40,0.32471752,0.41183874,0.5624611,0.37751588,0.63950413,1.0,0.49814215,0.16259362,1.0,0.52594775,0.6302486,0.42173433,0.5122668,0.0,0.43047348,0.5741011,0.3904751,0.4552517,0.09930694,0.6241304
41,0.42064375,0.37538108,0.76647353,0.2463029,0.54946494,0.0,0.42360768,0.036579985,0.0,0.43984595,0.26905936,0.19179404,0.5808154,0.0,0.36499012,0.50137,0.8882009,0.3732723,0.15394607,0.71520936
