frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
26,0.3062113,0.24733914,0.67340994,0.23699546,0.8910523,1.0,0.64541644,0.65630096,1.0,0.8779606,0.36262336,0.047713023,0.2530924,1.0,0.1630172,0.027744967,0.9993518,0.44633466,0.058020823,0.732288
27,0.30323613,0.24030083,0.5733904,0.225504,0.85247767,0.0,0.6326589,0.45869628,1.0,0.86396825,0.42442214,0.085267425,0.27913672,1.0,0.15982856,0.032107353,0.9970925,0.4586429,0.04240836,0.15175317
28,0.3905785,0.31515452,0.434906,0.27076605,0.8518245,1.0,0.60251766,0.56759405,1.0,0.88865834,0.48630017,0.009589858,0.24695407,1.0,0.20326218,0.055219844,0.9994205,0.49502322,0.024433209,0.2231202
29,0.30584252,0.3530008,0.7371291,0.27603936,0.9037784,1.0,0.6502818,0.19101803,1.0,0.8864702,0.4404559,0.0142512955,0.27524942,1.0,0.2011201,0.047192175,0.999584,0.382516,0.017630525,0.17668149
30,0.28793573,0.25696638,0.5968972,0.28747937,0.85531956,1.0,0.6130826,0.015621093,1.0,0.8902187,0.3146345,0.014790799,0.28734997,1.0,0.15512383,0.08003577,0.99897087,0.50004566,0.01870282,0.21865632
31,0.30645466,0.20618953,0.6606043,0.2731823,0.81728387,1.0,0.6009427,0.43060714,1.0,0.8775535,0.34614936,0.017120436,0.2834416,1.0,0.12654527,0.07331266,0.99789524,0.41440198,0.020649118,0.23638543
32,0.32900745,0.30827048,0.4095913,0.26726165,0.8620045,1.0,0.60408574,0.2245608,1.0,0.87335217,0.38060945,0.009204676,0.26879615,1.0,0.16172628,0.044903476,0.9971138,0.45004705,0.015802875,0.20404476
33,0.33382457,0.33258945,0.20427726,0.2485529,0.9141354,1.0,0.5559786,0.14801632,1.0,0.87725455,0.4329799,0.034271855,0.25823548,1.0,0.16431601,0.056066826,0.99859303,0.3023008,0.07016743,0.21818258
34,0.32285133,0.29053584,0.45637566,0.2432695,0.913889,1.0,0.5823527,0.8435667,1.0,0.87033767,0.52854425,0.028960729,0.29159397,1.0,0.16638204,0.071688086,0.9993437,0.643361,0.072776936,0.34767473
35,0.3629204,0.3445422,0.43526283,0.285477,0.9148335,1.0,0.6190007,0.13746352,1.0,0.8656343,0.49525166,0.033826202,0.264744,1.0,0.21884142,0.061545078,0.9992963,0.52205354,0.09146708,0.17158794
