frame,video_name,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
24,10_dg_4.mp4,0.26108655,0.23607819,0.6923853,0.31153437,0.48602682,0.0,0.52157575,0.9124365,1.0,0.2803875,0.7993181,0.82408106,0.3648716,1.0,0.51114625,0.099292256,0.9999342,0.5399151,0.1821843,0.033638075
25,10_dg_4.mp4,0.28486583,0.17005661,0.61175513,0.30223048,0.47211456,1.0,0.49151465,0.59187067,0.0,0.39471477,0.6308964,0.75747114,0.40177035,1.0,0.45643863,0.013100837,0.9999571,0.7320143,0.1517415,0.024006188
26,10_dg_4.mp4,0.2809965,0.16603002,0.7062694,0.3044282,0.48388967,0.0,0.46237302,0.70842344,0.0,0.36918697,0.67901266,0.8285885,0.42593104,1.0,0.45733726,0.0155328745,0.999977,0.73746026,0.052149434,0.02441017
27,10_dg_4.mp4,0.16402061,0.21444085,0.83215165,0.32444823,0.5057917,1.0,0.7492219,0.7151305,1.0,0.23947442,0.66667247,0.76695293,0.32987422,1.0,0.50246894,0.013945655,0.9999167,0.70270437,0.18754391,0.13806874
28,10_dg_4.mp4,0.22769524,0.114151746,0.6926764,0.33477324,0.46632233,1.0,0.37248713,0.1483584,1.0,0.39753178,0.6623236,0.80481714,0.32186902,1.0,0.37097564,0.01776678,0.9999311,0.6393548,0.043261264,0.037510417
29,10_dg_4.mp4,0.26645243,0.20582026,0.58596176,0.3440566,0.39106786,1.0,0.36633888,0.4498299,1.0,0.353506,0.64315367,0.6735158,0.39931393,1.0,0.49263093,0.0155669125,0.99982387,0.6218117,0.07048731,0.036962938
30,10_dg_4.mp4,0.26176655,0.19719598,0.65851027,0.30688187,0.37120685,1.0,0.49512175,0.43415394,1.0,0.25747448,0.6930788,0.5502422,0.3843808,1.0,0.4290113,0.025725178,0.9998498,0.7173454,0.11407138,0.025778964
31,10_dg_4.mp4,0.26352176,0.19757491,0.43390307,0.302679,0.39013708,1.0,0.49871597,0.5454038,1.0,0.33332825,0.6932067,0.51853865,0.4144167,1.0,0.41375744,0.030279854,0.9997365,0.73528403,0.109493695,0.02732289
32,10_dg_4.mp4,0.23576888,0.16113481,0.5603114,0.31037948,0.39106786,0.0,0.38277212,0.1562167,0.0,0.2959575,0.6491406,0.6772082,0.3209894,1.0,0.43826786,0.044351075,0.99990976,0.7666897,0.06071204,0.03416753
33,10_dg_4.mp4,0.17758521,0.24445078,0.756109,0.2950996,0.45240313,1.0,0.7226719,0.23912619,1.0,0.19780038,0.6259486,0.5646095,0.36266387,1.0,0.38973704,0.048750374,0.9974673,0.50680506,0.24184984,0.1269352
34,10_dg_4.mp4,0.1643516,0.21499024,0.8092465,0.2556801,0.3422919,1.0,0.81753826,0.4779486,1.0,0.17086191,0.73042256,0.761334,0.37157542,1.0,0.30649522,0.042181067,0.9994697,0.6217641,0.19365112,0.1205134
35,10_dg_4.mp4,0.2920784,0.23574424,0.2679485,0.31268358,0.44456664,0.0,0.3896665,0.9166978,1.0,0.18079235,0.7532066,0.72927046,0.38277963,1.0,0.48866078,0.03026003,0.99983,0.6206914,0.08216407,0.0381441
36,10_dg_4.mp4,0.22910765,0.17317133,0.51812744,0.3140949,0.37180328,1.0,0.46467534,0.6971907,1.0,0.28825927,0.693473,0.6789854,0.3843933,1.0,0.43895414,0.08606971,0.99974996,0.58380204,0.20593852,0.020076787
37,10_dg_4.mp4,0.17670551,0.3122624,0.5000414,0.28188515,0.2804225,1.0,0.7501991,0.5533732,1.0,0.15889964,0.6972332,0.64265645,0.43607813,1.0,0.46737874,0.1747375,0.99983263,0.6891336,0.0968589,0.11337307
38,10_dg_4.mp4,0.18269707,0.29694924,0.5614096,0.2935749,0.3487842,0.0,0.71296185,0.18026134,1.0,0.6168234,0.7024812,0.28457576,0.57271296,1.0,0.49879104,0.088052526,0.99599177,0.6887366,0.079641536,0.17963378
39,10_dg_4.mp4,0.20483035,0.40982196,0.6923516,0.27801535,0.38095272,1.0,0.74336356,0.22094718,1.0,0.4417465,0.6923149,0.49732244,0.51369905,1.0,0.39071888,0.08037037,0.98754615,0.49009156,0.08604789,0.124055766
40,10_dg_4.mp4,0.19404398,0.32258427,0.5216651,0.27794656,0.33556634,1.0,0.7407298,0.40848672,1.0,0.5821817,0.7005627,0.48111138,0.5640838,1.0,0.622352,0.17978181,0.99935347,0.62332314,0.043465875,0.11434735
41,10_dg_4.mp4,0.19189453,0.33466107,0.5244644,0.27794656,0.3457703,1.0,0.74359167,0.27008635,1.0,0.5849034,0.6778546,0.55569774,0.55084074,1.0,0.5637781,0.15195763,0.998346,0.56946117,0.14408623,0.114749886
42,10_dg_4.mp4,0.23656175,0.35523623,0.7908742,0.3069092,0.40379652,1.0,0.8065325,0.2662477,1.0,0.6159118,0.692598,0.6052348,0.5489332,1.0,0.39392427,0.095506325,0.99166495,0.75560164,0.089874685,0.15310754
