resident,emotion,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
resident1,happiness,0.10875,0.073,0.7675000000000001,0.047,1.215,0.869,0.08625,1.3935,1.5690000000000002,1.044,0.156,0.40325,0.1345,0.08875,0.53825,0.732,0.0775
resident1,fear,0.3507692307692308,0.1394230769230769,0.5726923076923076,0.0348076923076923,0.4880769230769231,0.913846153846154,0.0501923076923076,0.8663461538461538,0.6821153846153846,0.7142307692307692,0.1865384615384615,0.8613461538461539,0.1609615384615384,0.110576923076923,0.7507692307692309,0.7719230769230768,0.1159615384615384
resident1,surprise,0.3647272727272728,0.1210909090909091,0.9461818181818183,0.0687272727272727,0.6276363636363635,1.5279999999999998,0.0972727272727272,0.5765454545454546,0.5249090909090908,0.0087272727272727,0.1696363636363636,0.731090909090909,0.1463636363636364,0.0769090909090909,0.7912727272727273,0.7572727272727272,0.1158181818181818
resident1,anger,0.7195652173913042,0.083695652173913,1.1452173913043475,0.0876086956521739,0.8769565217391305,0.9106521739130432,0.0356521739130434,1.5076086956521737,1.258913043478261,1.559130434782609,0.1215217391304348,0.5689130434782609,0.1315217391304348,0.0615217391304347,0.6145652173913044,0.5606521739130433,0.1358695652173913
resident1,disgust,0.5884415584415584,0.1398701298701298,0.9218181818181816,0.0896103896103896,0.1474025974025974,1.2246753246753246,0.1029870129870129,0.1468831168831169,0.2088311688311688,0.0,0.2868831168831168,1.1336363636363636,0.0816883116883116,0.1371428571428571,0.6615584415584416,0.3314285714285713,0.1993506493506493
resident1,sadness,0.2422058823529411,0.0883823529411764,1.323088235294118,0.0970588235294117,0.0244117647058823,0.8616176470588235,0.0579411764705882,0.2494117647058823,0.5511764705882353,0.0,0.1070588235294117,0.9308823529411764,0.1760294117647058,0.1133823529411764,0.4604411764705882,0.5570588235294118,0.1151470588235294
resident2,happiness,0.0698734177215189,0.0237974683544303,0.7467088607594936,0.0317721518987341,1.706582278481013,2.475696202531646,0.0492405063291139,1.5326582278481011,2.005063291139241,1.0043037974683546,0.0765822784810126,0.2231645569620253,0.050886075949367,0.0684810126582278,0.1401265822784809,0.1851898734177215,0.1140506329113924
resident2,fear,0.2087081339712919,0.0867942583732057,0.1829665071770335,0.0691866028708134,0.6619138755980861,0.6717703349282296,0.1102870813397129,0.105311004784689,1.4339234449760765,0.8189473684210528,0.1804784688995215,0.6111004784688996,0.101578947368421,0.1430143540669856,0.4042105263157894,0.5442583732057417,0.2107177033492823
resident2,surprise,0.1269306930693069,0.1177227722772277,0.1429702970297029,0.0864356435643564,0.5151485148514853,0.9769306930693068,0.0282178217821782,0.0416831683168316,1.253861386138614,0.0047524752475247,0.1362376237623762,0.4772277227722772,0.0668316831683168,0.0793069306930693,0.4165346534653465,1.026435643564357,0.1367326732673267
resident2,anger,0.333763440860215,0.3124731182795698,0.0264516129032258,0.0726881720430107,1.6500000000000006,1.0852688172043012,0.0825806451612903,0.3019354838709677,1.4787096774193549,1.4183870967741936,0.133763440860215,0.4513978494623656,0.0651612903225806,0.0520430107526881,0.2540860215053763,0.2101075268817204,0.1583870967741935
