frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
30,0.40846953,0.17715631,0.39421085,0.25984192,0.2232935,0.0,0.50824803,0.005517525,0.0,0.08748122,0.32631847,0.14569367,0.47476426,0.0,0.6267716,0.21996638,0.9902444,0.48113534,0.2005374,0.5873075
31,0.30234584,0.18247838,0.57170624,0.2660321,0.27919832,0.0,0.48803777,0.049918346,0.0,0.2418292,0.17172383,0.12464809,0.4218706,1.0,0.4150075,0.16692467,0.9963714,0.84722805,0.25106525,0.54033
32,0.425824,0.10633238,0.35560036,0.26369637,0.27868384,0.0,0.5370854,0.013941165,0.0,0.3331706,0.24725312,0.13091402,0.42495078,1.0,0.7802287,0.16789515,0.95964056,0.31705588,0.08796863,0.24862371
33,0.32787207,0.12511005,0.63447624,0.22862577,0.43801448,0.0,0.67070323,0.23022872,0.0,0.2835066,0.38661075,0.41657412,0.42494315,1.0,0.71534497,0.1738581,0.99372345,0.3312681,0.17880613,0.6015811
34,0.3268334,0.09305579,0.3192676,0.2640155,0.30799276,0.0,0.62371236,0.069484636,0.0,0.2184655,0.5032544,0.17655978,0.5174797,1.0,0.52867275,0.41829422,0.9792286,0.4333516,0.06166137,0.490749
35,0.36869597,0.11252734,0.60527635,0.23601836,0.3450718,0.0,0.5802861,0.043582875,0.0,0.15763286,0.30919638,0.30757374,0.4570745,1.0,0.46364355,0.6769417,0.9600372,0.49765286,0.11173948,0.8443527
36,0.3661452,0.1866109,0.32200623,0.2199261,0.3344436,1.0,0.5870439,0.00675283,0.0,0.3680692,0.47784057,0.16878943,0.49500698,1.0,0.36234066,0.48453036,0.9969932,0.38060573,0.49181008,0.8660578
37,0.35625464,0.15063946,0.42959774,0.26098773,0.35175824,0.0,0.64075714,0.005428555,0.0,0.4689727,0.39412832,0.3486063,0.42457333,1.0,0.5307956,0.7327712,0.99554366,0.24394049,0.247769,0.472747
38,0.23364462,0.12786345,0.13050608,0.2623776,0.2958166,1.0,0.49699607,0.0017466547,0.0,0.32277417,0.40766284,0.2077792,0.3522554,1.0,0.49106994,0.15944305,0.99594986,0.49671015,0.21076387,0.7541401
39,0.2864305,0.15310447,0.5430814,0.21928164,0.2828191,0.0,0.50508595,0.005258507,0.0,0.15661106,0.44633594,0.31994557,0.47061938,1.0,0.4963711,0.16793925,0.99952734,0.4501674,0.21152475,0.51028615
40,0.31899717,0.07181391,0.50899714,0.22341737,0.29188493,0.0,0.60319674,0.0048064785,0.0,0.12661979,0.35718188,0.28753108,0.402533,1.0,0.44788006,0.13816616,0.9912633,0.5234633,0.053463567,0.6056339
41,0.2664044,0.1116394,0.2999434,0.23924011,0.25029814,0.0,0.5995362,0.0017205881,0.0,0.122153424,0.37201685,0.21969713,0.44208774,0.0,0.48071218,0.15139358,0.9996662,0.4619187,0.19243492,0.83600885
42,0.22142607,0.11967936,0.4577749,0.261251,0.24134706,1.0,0.531752,0.0005882922,0.0,0.08869516,0.21579891,0.24110733,0.4370298,0.0,0.6437883,0.25094292,0.97265923,0.53456044,0.1356184,0.62079227
43,0.1987822,0.13273528,0.451,0.24199021,0.25755873,0.0,0.5377018,0.0003152953,0.0,0.14409368,0.40059635,0.2974173,0.5871468,0.0,0.6548577,0.38028252,0.9900085,0.5760523,0.14565772,0.70735663
44,0.24550827,0.12580226,0.26566705,0.25660795,0.15243946,1.0,0.5460175,0.0007243179,0.0,0.068149075,0.29366317,0.18880469,0.4846944,0.0,0.57928586,0.108889416,0.9971788,0.3896718,0.21683541,0.6837972
45,0.28761464,0.13185616,0.57687205,0.25515905,0.13858597,0.0,0.5116368,0.0006203857,1.0,0.05540029,0.39643818,0.069317564,0.6485506,0.0,0.62067795,0.3940916,0.81309086,0.14603472,0.21297145,0.55839705
46,0.25561532,0.12797435,0.21207939,0.21249376,0.13305685,0.0,0.4400175,0.0012077517,1.0,0.07381217,0.40455747,0.06710746,0.6264825,0.0,0.66758215,0.39858088,0.9619639,0.515596,0.24914841,0.3421236
47,0.2108483,0.10231726,0.2394651,0.21219349,0.14778747,0.0,0.4443258,0.0009498006,1.0,0.026835116,0.26822808,0.21612155,0.5792509,0.0,0.6243855,0.41721404,0.9746342,0.5514956,0.12831894,0.41561675
48,0.29830402,0.10425106,0.15927394,0.2105049,0.1259157,0.0,0.43517634,0.0013056975,0.0,0.028485475,0.28866225,0.117220625,0.4396876,0.0,0.5441482,0.5273177,0.9863738,0.60424566,0.13040051,0.40942326
49,0.27329051,0.1005025,0.19111419,0.21612094,0.18094707,0.0,0.44051972,0.0012728676,1.0,0.05056398,0.40491498,0.15237169,0.5585235,0.0,0.4867406,0.705074,0.83100903,0.36510858,0.16591133,0.30367526
50,0.2637525,0.08526327,0.29017562,0.24525346,0.10983236,0.0,0.47974747,0.0014809206,1.0,0.029954815,0.24066539,0.13689731,0.43749118,0.0,0.49401128,0.22514734,0.9880959,0.45966336,0.32321066,0.40421864
51,0.28508884,0.10906907,0.3509616,0.24025786,0.16468157,1.0,0.5253081,0.0022601753,0.0,0.030946014,0.2954892,0.406645,0.43957913,0.0,0.4468194,0.5400107,0.99433833,0.24960782,0.101728514,0.29157302
52,0.34526858,0.137941,0.42624825,0.25104004,0.11860814,0.0,0.5928831,0.00972386,0.0,0.022875872,0.31061512,0.65282446,0.48259148,0.0,0.5262845,0.46827954,0.9949898,0.19489558,0.285041,0.20835398
53,0.31898922,0.10283785,0.42640287,0.24676542,0.11941774,0.0,0.59450346,0.015833335,1.0,0.024595557,0.37151322,0.44402197,0.480639,0.0,0.51362914,0.6385016,0.9864768,0.124914795,0.16010277,0.16254865
54,0.30319843,0.07011207,0.6804842,0.24068406,0.17940949,0.0,0.6627102,0.0049957335,0.0,0.030513218,0.37035632,0.30713353,0.5021022,0.0,0.49154267,0.6307461,0.98582536,0.14868513,0.4473667,0.18882027
55,0.29835358,0.05576903,0.35668734,0.23221906,0.12867962,0.0,0.6389166,0.052504476,0.0,0.03139966,0.3767361,0.21516529,0.49086702,0.0,0.41260403,0.4568863,0.9264205,0.13038099,0.247551,0.27744657
56,0.39722055,0.08528117,0.5760138,0.23078021,0.113028415,0.0,0.6231367,0.0022954557,0.0,0.01988259,0.4779154,0.7105532,0.50333697,0.0,0.38164145,0.55010355,0.9899672,0.20261352,0.2123125,0.18107736
57,0.32245052,0.094491936,0.46336347,0.2625806,0.14032966,0.0,0.61177385,0.008205835,0.0,0.064246684,0.38634455,0.4031359,0.5186752,0.0,0.4958598,0.3899712,0.8382921,0.15589596,0.5890778,0.53525853
58,0.32517123,0.08269236,0.43021283,0.21690355,0.1325162,0.0,0.65115863,6.0005917e-05,0.0,0.0342941,0.5056453,0.28667963,0.6414155,0.0,0.65833133,0.53748816,0.7776243,0.094661616,0.33372307,0.5126928
59,0.26674515,0.084163435,0.6520416,0.26299804,0.16891307,0.0,0.6419087,0.0009507915,0.0,0.08560878,0.39565846,0.59040636,0.5640645,0.0,0.64477986,0.6039945,0.891368,0.09175916,0.5675089,0.6567955
60,0.30399808,0.10679781,0.6187262,0.26024583,0.17573565,0.0,0.6875298,0.0023419734,0.0,0.070476316,0.49680442,0.40476754,0.62125117,0.0,0.622067,0.70872265,0.8556078,0.11155966,0.4130147,0.35075298
61,0.3290541,0.17671475,0.36968017,0.26236936,0.21008064,0.0,0.64229727,0.0009670417,0.0,0.07221014,0.5502523,0.44741485,0.5918371,0.0,0.55032057,0.6035895,0.56835407,0.117702916,0.4772738,0.31876758
62,0.42189324,0.13751972,0.4539296,0.22426704,0.15824296,0.0,0.7007511,0.00405269,0.0,0.08270551,0.62511337,0.5709547,0.64099646,0.0,0.7781572,0.7732032,0.96787304,0.060130127,0.24460018,0.09312127
63,0.27293703,0.14203079,0.27090552,0.2620586,0.16442429,0.0,0.6449599,0.001685538,0.0,0.08896454,0.54911,0.54539657,0.67567456,0.0,0.64102924,0.77185184,0.85859895,0.10875979,0.39589426,0.14761914
64,0.20912121,0.1265267,0.23191868,0.24507043,0.14792547,0.0,0.58332914,0.0029130022,0.0,0.06997904,0.39581722,0.25189158,0.6729774,0.0,0.54153156,0.865811,0.8831767,0.10230273,0.48534748,0.14616017
65,0.37850717,0.15276901,0.15022054,0.25709838,0.19644779,0.0,0.53737104,0.0036297885,0.0,0.17644739,0.6080936,0.4394957,0.6014955,0.0,0.60728866,0.8569296,0.24612652,0.035019275,0.6497745,0.250835
66,0.26361355,0.22996807,0.17232086,0.26764712,0.2808533,0.0,0.48074424,0.0018652022,1.0,0.20050849,0.46575323,0.21985322,0.6478714,0.0,0.65685123,0.809389,0.025472397,0.03936142,0.7365857,0.22000428
67,0.41179708,0.2306185,0.17646232,0.30920216,0.32624453,0.0,0.49516517,0.0028117155,0.0,0.21469343,0.6747272,0.50523835,0.6464611,0.0,0.61759907,0.78673923,0.03264863,0.04520448,0.90044534,0.09354814
68,0.40203092,0.14463918,0.44879377,0.23518409,0.14943126,0.0,0.54564065,0.004165809,1.0,0.045990903,0.6052232,0.31088164,0.5635051,0.0,0.7155727,0.84119505,0.050096728,0.06601937,0.62276304,0.11538009
69,0.34141195,0.20140666,0.41987783,0.21807194,0.07208461,0.0,0.34504157,0.008325867,1.0,0.018529737,0.30230206,0.5125776,0.55811334,0.0,0.6395086,0.87626094,0.02673805,0.08178719,0.6184403,0.15092747
70,0.29283294,0.21357514,0.3809858,0.27127394,0.080737524,0.0,0.4313593,0.0067608915,0.0,0.020694748,0.26956862,0.3543294,0.5385381,0.0,0.5936294,0.77890915,0.16862825,0.14830907,0.47833648,0.13175951
71,0.47867724,0.14101195,0.5057607,0.22864464,0.0694346,0.0,0.5741354,0.048753392,0.0,0.020036925,0.3178726,0.280163,0.7342064,0.0,0.68188107,0.85497165,0.029336736,0.10912536,0.80590624,0.19829442
72,0.4244551,0.23135701,0.41371492,0.25761768,0.17788498,0.0,0.5548113,0.009327776,0.0,0.053460173,0.3529244,0.30508494,0.6787468,0.0,0.75894535,0.8477877,0.10438989,0.2129059,0.4322611,0.20642221
73,0.29771847,0.22111303,0.6201928,0.26703402,0.24317805,0.0,0.6734511,0.023755921,0.0,0.07447225,0.31614187,0.58128726,0.5641166,1.0,0.7880854,0.8029961,0.047502607,0.104655884,0.11643619,0.08362154
